id,branch,fix version,bug version,bug file,method,line,command,type,issue link
2,larsclausen,b8ddeb88480b,23e51ef7a8e8e4ba,vvp/vpi_const.cc,vvp/vpi_const.cc#__vpiStringConst::vpi_get_value#120#23088888vvp/vpi_const.cc#__vpiStringConst::vpi_get#92#118,"vvp/vpi_const.cc:96,vvp/vpi_const.cc:124,vvp/vpi_const.cc:135",./iverilog test.v -o test.o && ./test.o,0,https://github.com/steveicarus/iverilog/issues/827
3,master,56eb91e,ee0c6bb,elab_net.cc,elab_net.cc#PEIdent::elaborate_lnet_common_#508#951,elab_net.cc:648,./iverilog -g2012 test.sv,0,https://github.com/steveicarus/iverilog/issues/823
5,master,c8a8587,2d6243e,elab_sig.cc,elab_sig.cc#PWire::elaborate_sig#998#1208,elab_sig.cc:1083,./iverilog test.v -gno-io-range-error -Wno-anachronisms -o test.o && ./test.o,0,https://github.com/steveicarus/iverilog/issues/788
6,master,59d70ca,46e1a21,lexor.lex,lexor.lex#get_timescale_const#1308#1379,"lexor.lex:1308,lexor.lex:1309,lexor.lex:1310,lexor.lex:1311,lexor.lex:1312,lexor.lex:1313,lexor.lex:1314,lexor.lex:1315,lexor.lex:1316,lexor.lex:1317,lexor.lex:1318,lexor.lex:1319,lexor.lex:1324,lexor.lex:1325,lexor.lex:1326,lexor.lex:1327,lexor.lex:1328,lexor.lex:1329,lexor.lex:1330,lexor.lex:1331,lexor.lex:1332,lexor.lex:1333,lexor.lex:1334,lexor.lex:1338,lexor.lex:1340,lexor.lex:1341,lexor.lex:1342,lexor.lex:1343,lexor.lex:1344,lexor.lex:1345,lexor.lex:1346,lexor.lex:1347,lexor.lex:1348,lexor.lex:1349,lexor.lex:1350,lexor.lex:1351,lexor.lex:1352,lexor.lex:1353,lexor.lex:1354,lexor.lex:1355,lexor.lex:1356,lexor.lex:1357,lexor.lex:1358,lexor.lex:1359,lexor.lex:1360,lexor.lex:1361,lexor.lex:1362,lexor.lex:1363,lexor.lex:1364,lexor.lex:1365,lexor.lex:1366,lexor.lex:1367,lexor.lex:1368,lexor.lex:1373,lexor.lex:1374,lexor.lex:1375,lexor.lex:1376,lexor.lex:1377,lexor.lex:1431,lexor.lex:1432,lexor.lex:1433,lexor.lex:1434,lexor.lex:1435,lexor.lex:1436,lexor.lex:1437,lexor.lex:1438,lexor.lex:1439,lexor.lex:1440,lexor.lex:1441,lexor.lex:1442,lexor.lex:1443,lexor.lex:1444,lexor.lex:1445,lexor.lex:1446,lexor.lex:1447,lexor.lex:1448,lexor.lex:1449,lexor.lex:1450,lexor.lex:1451,lexor.lex:1452,lexor.lex:1453,lexor.lex:1454,lexor.lex:1455,lexor.lex:1456,lexor.lex:1457,lexor.lex:1458,lexor.lex:1459,lexor.lex:1460,lexor.lex:1461,lexor.lex:1462,lexor.lex:1463,lexor.lex:1464,lexor.lex:1465,lexor.lex:1466,lexor.lex:1467,lexor.lex:1468,lexor.lex:1469,lexor.lex:1470,lexor.lex:1471,lexor.lex:1472,lexor.lex:1473,lexor.lex:1474,lexor.lex:1475,lexor.lex:1476,lexor.lex:1477",./iverilog test.v -g2009 -o test.o && ./test.o,1,https://github.com/steveicarus/iverilog/issues/782
7,master,310e239637c8ed,c7cdc6c,elaborate.cc,elaborate.cc#PGModule::elaborate_mod_#1157#1973,elaborate.cc:1504,./iverilog test.v -g2009 -o test.o && ./test.o,0,https://github.com/steveicarus/iverilog/issues/756
8,larsclausen,5ec72f4cc85e4173c3f4e72d5e08a948a840be1d,2d6243ea6cef8,"elab_net.cc,elaborate.cc",elab_net.cc#PEIdent::elaborate_unpacked_net#1102#111488888elaborate.cc#PGAssign::elaborate_unpacked_array_#263#273,"elab_net.cc:1111,elaborate.cc:265,elaborate.cc:266",./iverilog -g2012 test.v,0,https://github.com/steveicarus/iverilog/issues/747
9,master,2ceb90b,542da11,net_design.cc,net_design.cc#NetScope::evaluate_parameter_#817#901,net_design.cc:850,./iverilog test.v -o test.o,0,https://github.com/steveicarus/iverilog/issues/732
10,larsclausen,6564f55219,73f40f73b0,vpi/sys_vcd.c,vpi/sys_vcd.c#scan_item#514#769,vpi/sys_vcd.c:536,./iverilog test.v -o test.o && ./test.o,0,https://github.com/steveicarus/iverilog/issues/717
12,master,82caccd,42de9e6,net_func_eval.cc,net_func_eval.cc#NetESignal::evaluate_function#973#102388888net_func_eval.cc#NetAssign::eval_func_lval_#312#439,"net_func_eval.cc:342,net_func_eval.cc:1002",./iverilog test.v -o test.o && ./test.o,0,https://github.com/steveicarus/iverilog/issues/674
13,master,313f376,f3c4967,t-dll-proc.cc,t-dll-proc.cc#dll_target::proc_block#411#479,t-dll-proc.cc:431,./iverilog -o test.o -s top -g2012 test.sv && ./test.o,1,https://github.com/steveicarus/iverilog/issues/672
14,master,94e09ec,d480c4d,vpi/sys_random.c,vpi/sys_random.c#all#1#905,"vpi/sys_random.c:28,vpi/sys_random.c:29,vpi/sys_random.c:30,vpi/sys_random.c:31,vpi/sys_random.c:32,vpi/sys_random.c:33",./iverilog -g2012 -DMAX_32_RANGE test.v -o test.o && ./test.o,0,https://github.com/steveicarus/iverilog/issues/661
15,master,b7f9481,e53b2e7,synth2.cc,synth2.cc#NetCondit::synth_sync#1763#1992,synth2.cc:1850,./iverilog -S -g2012 test.v -o test.o && ./test.o,1,https://github.com/steveicarus/iverilog/issues/649
16,master,831db5a,15e1a7a,tgt-vvp/vvp_scope.c,tgt-vvp/vvp_scope.c#draw_lpm_shiftl#1878#1895,"tgt-vvp/vvp_scope.c:1890,tgt-vvp/vvp_scope.c:1892,tgt-vvp/vvp_scope.c:1894",./iverilog -g2012 test.v -o test.o && ./test.o,0,https://github.com/steveicarus/iverilog/issues/632
17,master,b3f7ce6,2c505f0,vvp/array.cc,vvp/array.cc#array_port_resolv_list_t::resolve#1380#1404,"vvp/array.cc:1390,vvp/array.cc:1391,vvp/array.cc:1395,vvp/array.cc:1396",./iverilog test.v -o test.o && ./test.o,1,https://github.com/steveicarus/iverilog/issues/621
18,master,679a6567e93c,98a87b49c,vvp/vthread.cc,vvp/vthread.cc#of_CONCATI_STR#2264#226988888vvp/vthread.cc#of_PUSHI_STR#5012#5017,"vvp/vthread.cc:2267,vvp/vthread.cc:5015",./iverilog -g2009 test.v -o test.o && ./test.o,0,https://github.com/steveicarus/iverilog/issues/579
19,master,807fb2e5d1,85a4869ac3,"netlist.cc,elab_scope.cc",elab_scope.cc#PFunction::elaborate_scope#1590#161488888netlist.cc#NetUTask::check_synth#3522#3526,"netlist.cc:3525,elab_scope.cc:1592",./iverilog -g2012 test.v -o test.o,0,https://github.com/steveicarus/iverilog/issues/576
21,master,3dda39b,e3c2234,vvp/array.cc,vvp/array.cc#__vpiArray::get_word_r#705#729,vvp/array.cc:720,./iverilog -g2012 test.sv -o test.o && ./test.o,1,https://github.com/steveicarus/iverilog/issues/556
23,master,ef01dd1,7ee7a48,PWire.cc,PWire.cc#PWire::set_signed#133#136,PWire.cc:135,./iverilog test.v -o test.o && ./test.o,0,https://github.com/steveicarus/iverilog/issues/540
24,master,a659ca09ce,e088bee091,net_nex_input.cc,net_nex_input.cc#NetUTask::nex_input#616#619,net_nex_input.cc:618,./iverilog -g2005-sv test.sv -o test.o && ./test.o,1,https://github.com/steveicarus/iverilog/issues/539
25,master,7ee7a48,cefcffe,elab_scope.cc,elab_scope.cc#PGenerate::generate_scope_loop_#947#1063,elab_scope.cc:953,./iverilog test.v -o test.o && ./test.o,0,https://github.com/steveicarus/iverilog/issues/533
26,master,3b1b611,061121203bc27203b0e,net_func_eval.cc,net_func_eval.cc#NetESelect::evaluate_function#935#96888888net_func_eval.cc#NetAssign::eval_func_lval_#312#439,"net_func_eval.cc:363,net_func_eval.cc:369,net_func_eval.cc:381,net_func_eval.cc:388,net_func_eval.cc:964",./iverilog test.v -o test.o && ./test.o,0,https://github.com/steveicarus/iverilog/issues/531
27,master,061121203bc27203b0e,6b12743,elaborate.cc,elaborate.cc#PGModule::elaborate_mod_#1173#1989,elaborate.cc:1204,./iverilog a.v tb.v,0,https://github.com/steveicarus/iverilog/issues/530
29,master,83d9b5d,e547a83,elab_expr.cc,elab_expr.cc#PEIdent::test_width#3967#4232,"elab_expr.cc:3985,elab_expr.cc:3986,elab_expr.cc:4173,elab_expr.cc:4174,elab_expr.cc:4175,elab_expr.cc:4176,elab_expr.cc:4177,elab_expr.cc:4178,elab_expr.cc:4179,elab_expr.cc:4180,elab_expr.cc:4181,elab_expr.cc:4182,elab_expr.cc:4183,elab_expr.cc:4184,elab_expr.cc:4185,elab_expr.cc:4186,elab_expr.cc:4187,elab_expr.cc:4188,elab_expr.cc:4189,elab_expr.cc:4190,elab_expr.cc:4191,elab_expr.cc:4192,elab_expr.cc:4193,elab_expr.cc:4194,elab_expr.cc:4195,elab_expr.cc:4196,elab_expr.cc:4197,elab_expr.cc:4198,elab_expr.cc:4199,elab_expr.cc:4200,elab_expr.cc:4201,elab_expr.cc:4202,elab_expr.cc:4203,elab_expr.cc:4204,elab_expr.cc:4205,elab_expr.cc:4206,elab_expr.cc:4207,elab_expr.cc:4208,elab_expr.cc:4209,elab_expr.cc:4210,elab_expr.cc:4211,elab_expr.cc:4212,elab_expr.cc:4213,elab_expr.cc:4214,elab_expr.cc:4215,elab_expr.cc:4216,elab_expr.cc:4217,elab_expr.cc:4218,elab_expr.cc:4219,elab_expr.cc:4220,elab_expr.cc:4221",./iverilog test.sv -g2012 -o test.o,0,https://github.com/steveicarus/iverilog/issues/527
31,master,cf0bf4d,a7cb938,pform.cc,pform.cc#pform_module_define_port#2571#2662,"pform.cc:2626,pform.cc:2629",./iverilog test.sv -g2012 -o test.o,0,https://github.com/steveicarus/iverilog/issues/498
32,master,4af8301,7c024d6,"elab_expr.cc,elab_lval.cc,elab_net.cc",elab_lval.cc#PEIdent::elaborate_lval_net_idx_#918#102888888elab_net.cc#PEIdent::eval_part_select_#201#44588888elab_expr.cc#PEIdent::elaborate_expr_net_idx_up_#5817#591688888elab_expr.cc#PEIdent::elaborate_expr_net_idx_do_#5921#6019,"elab_expr.cc:5841,elab_expr.cc:5844,elab_expr.cc:5845,elab_expr.cc:5849,elab_expr.cc:5850,elab_expr.cc:5945,elab_expr.cc:5946,elab_expr.cc:5947,elab_expr.cc:5948,elab_expr.cc:5949,elab_expr.cc:5950,elab_expr.cc:5951,elab_expr.cc:5952,elab_expr.cc:5953,elab_lval.cc:954,elab_lval.cc:957,elab_lval.cc:958,elab_lval.cc:959,elab_lval.cc:960,elab_lval.cc:961,elab_lval.cc:965,elab_net.cc:266,elab_net.cc:269,elab_net.cc:270,elab_net.cc:271,elab_net.cc:274,elab_net.cc:275,elab_net.cc:276,elab_net.cc:277,elab_net.cc:281,elab_net.cc:282,elab_net.cc:283,elab_net.cc:284,elab_net.cc:285,elab_net.cc:286,elab_net.cc:287,elab_net.cc:290,elab_net.cc:291,elab_net.cc:292,elab_net.cc:293,elab_net.cc:294,elab_net.cc:297,elab_net.cc:298,elab_net.cc:299,elab_net.cc:300,elab_net.cc:303,elab_net.cc:307,elab_net.cc:308",./iverilog test.v -o test.o,0,https://github.com/steveicarus/iverilog/issues/497
36,master,308c744,9eb7711,elab_expr.cc,elab_expr.cc#PEIdent::elaborate_expr_net_idx_do_#5570#5657,"elab_expr.cc:5595,elab_expr.cc:5596,elab_expr.cc:5602,elab_expr.cc:5603,elab_expr.cc:5604,elab_expr.cc:5608,elab_expr.cc:5610,elab_expr.cc:5646",./iverilog -g2005-sv test.sv,0,https://github.com/steveicarus/iverilog/issues/477
38,master,540555fca318f142,248aeee,tgt-vvp/eval_object.c,tgt-vvp/eval_object.c#darray_new#24#74,"tgt-vvp/eval_object.c:31,tgt-vvp/eval_object.c:34,tgt-vvp/eval_object.c:35,tgt-vvp/eval_object.c:36,tgt-vvp/eval_object.c:37",./iverilog -g2005-sv test.sv,0,https://github.com/steveicarus/iverilog/issues/460
39,master,eaa3a10e8,b7306001a,net_design.cc,net_design.cc#NetScope::evaluate_parameter_#827#900,net_design.cc:833,./iverilog -g2012 -Ptest.foo=4 test.v,0,https://github.com/steveicarus/iverilog/issues/445
43,master,a019994,71843a6,net_scope.cc,net_scope.cc#NetScope::find_class#705#735,net_scope.cc:705,./iverilog -g2012 test.sv,0,https://github.com/steveicarus/iverilog/issues/437
45,master,fe79f13,0a429db,ivlpp/lexor.lex,ivlpp/lexor.lex#do_define#1075#1202,ivlpp/lexor.lex:1093,./iverilog test.sv -o test.o,0,https://github.com/steveicarus/iverilog/issues/435
46,master,71843a6,6c3abb4,elaborate.cc,elaborate.cc#PCallTask::elaborate_method_#3739#3811,"elaborate.cc:3770,elaborate.cc:3771,elaborate.cc:3772",./iverilog -g2005-sv test.sv,0,https://github.com/steveicarus/iverilog/issues/433
49,master,94b503f,1bb355a,elaborate.cc,elaborate.cc#PFunction::elaborate#5282#5335,"elaborate.cc:5299,elaborate.cc:5300,elaborate.cc:5301,elaborate.cc:5302,elaborate.cc:5303,elaborate.cc:5304,elaborate.cc:5305",./iverilog -DVW_IVLOG_GO2UVM -DIVL_UVM -g2012 -I./ -o vw_ivl_go2uvm.vvp ./test.svh,0,https://github.com/steveicarus/iverilog/issues/411
51,master,55e06db,7277f4e,elaborate.cc,elaborate.cc#PCallTask::elaborate_usr#3543#3607,elaborate.cc:3559,./iverilog test.sv -g2012 -o test.o,0,https://github.com/steveicarus/iverilog/issues/388
