id,branch,fix version,bug version,bug file,method,line,command,type,issue link
1,master,1c738c6,25fa1d7,include/verilated_types.h,include/verilated_types.h#VlClassVL_NOT_FINAL::VlClass( const VlClass & copied)#1481#1481,include/verilated_types.h:1481,test_regress/t/t_class_copy2.pl,0,https://github.com/verilator/verilator/issues/4540
2,master,537650a,f849073,include/verilated_funcs.h,"include/verilated_funcs.h#VL_STREAML_FAST_III( int lbits , IData ld , IData rd_log2)#1416#1452",include/verilated_funcs.h:1440,test_regress/t/t_stream5.pl,0,https://github.com/verilator/verilator/issues/4536
3,master,1b8228b,732d03f,src/V3Width.cpp,src/V3Width.cpp#WidthVisitor::visit( AstNodeStream * nodep)#836#866,src/V3Width.cpp:846,test_regress/t/t_stream_struct.pl,1,https://github.com/verilator/verilator/issues/4531
4,master,e6fb7e9,891cc0f,src/V3EmitCFunc.cpp,"src/V3EmitCFunc.cpp#EmitCFunc::displayNode( AstNode * nodep , AstScopeName * scopenamep , const string & vformat , AstNode * exprsp , bool isScan)#311#410",src/V3EmitCFunc.cpp:317,test_regress/t/t_display_recurse.pl,1,https://github.com/verilator/verilator/issues/4480
6,master,00d6388,10dd675,src/V3LinkLevel.cpp,src/V3LinkLevel.cpp#V3LinkLevel::modSortByLevel()#45#92,src/V3LinkLevel.cpp:56,test_regress/t/t_bind_nfound.pl,0,https://github.com/verilator/verilator/issues/4438
7,master,63b2dbb,5bee8ef,src/V3Task.cpp,"src/V3Task.cpp#TaskVisitor::getDpiFunc( AstNodeFTask * nodep , AstVar * rtnvarp)#917#95388888src/V3Task.cpp#TaskVisitor::dpiSignature( AstNodeFTask * nodep , AstVar * rtnvarp) const#644#667","src/V3Task.cpp:661,src/V3Task.cpp:932,src/V3Task.cpp:939,src/V3Task.cpp:940,src/V3Task.cpp:660",test_regress/t/t_dpi_2exparg_bad.pl,0,https://github.com/verilator/verilator/issues/4301
9,master,c248318,c3e5db5,src/V3Class.cpp,src/V3Class.cpp#ClassVisitor::setStructModulep( AstNodeUOrStructDType * const dtypep)#180#194,"src/V3Class.cpp:184,src/V3Class.cpp:185,src/V3Class.cpp:30,src/V3Class.cpp:44",test_regress/t/t_unpacked_struct_redef.pl,0,https://github.com/verilator/verilator/issues/4256
10,master,1c0739d,dfd3907,src/V3EmitCHeaders.cpp,"src/V3EmitCHeaders.cpp#EmitCHeader::emitStructDecl( const AstNodeModule * modp , AstNodeUOrStructDType * sdtypep , std :: set<AstNodeUOrStructDType*> & emitted)#217#240","src/V3EmitCHeaders.cpp:25,src/V3EmitCHeaders.cpp:26,src/V3EmitCHeaders.cpp:239",test_regress/t/t_unpacked_struct_eq.pl,0,https://github.com/verilator/verilator/issues/4234
11,master,9cc218d,15f8ebc,src/V3DfgAstToDfg.cpp,src/V3DfgAstToDfg.cpp#AstToDfgVisitor::canonicalizePacked()#291#417,"src/V3DfgAstToDfg.cpp:337,src/V3DfgAstToDfg.cpp:338,src/V3DfgAstToDfg.cpp:339,src/V3DfgAstToDfg.cpp:340,src/V3DfgAstToDfg.cpp:341,src/V3DfgAstToDfg.cpp:342,src/V3DfgAstToDfg.cpp:343,src/V3DfgAstToDfg.cpp:344,src/V3DfgAstToDfg.cpp:345,src/V3DfgAstToDfg.cpp:346,src/V3DfgAstToDfg.cpp:347",test_regress/t/t_incorrect_multi_driven.pl,1,https://github.com/verilator/verilator/issues/4231
12,master,59825282746c0,de3095e,"src/V3Os.cpp,src/V3Options.cpp","src/V3Options.cpp#V3Options::filePath( FileLine * fl , const string & modname , const string & lastpath , const string & errmsg)#545#57088888src/V3Os.cpp#V3Os::filenameFromDirBase( const string & dir , const string & basename)#127#134","src/V3Options.cpp:550,src/V3Os.cpp:129",test_regress/t/t_flag_i_empty.pl,0,https://github.com/verilator/verilator/issues/4215
14,master,d5de67c,2267db0,src/V3Common.cpp,src/V3Common.cpp#makeVlToString( AstNodeUOrStructDType * nodep)#64#95,"src/V3Common.cpp:85,src/V3Common.cpp:87,src/V3Common.cpp:89",test_regress/t/t_trace_wide_struct.pl,0,https://github.com/verilator/verilator/issues/4188
15,master,4835ed6,0198a3f,src/V3Force.cpp,src/V3Force.cpp#ForceConvertVisitor::visit( AstRelease * nodep)#213#266,"src/V3Force.cpp:256,src/V3Force.cpp:257,src/V3Force.cpp:258,src/V3Force.cpp:260,src/V3Force.cpp:264,src/V3Force.cpp:265",test_regress/t/t_clocked_release_combo.pl,1,https://github.com/verilator/verilator/issues/4183
16,master,0606a29,c605283,"src/V3AstNodes.cpp,src/V3AstNodeDType.h,src/V3EmitCHeaders.cpp,src/V3Class.cpp,src/V3EmitCImp.cpp,src/V3Common.cpp","src/V3Class.cpp#ClassVisitor::visit( AstClass * nodep)#54#10688888src/V3Common.cpp#makeVlToString( AstNodeUOrStructDType * nodep)#64#9488888src/V3AstNodes.cpp#AstMemberDType::dumpSmall( std :: ostream & str) const#1674#167788888src/V3AstNodes.cpp#AstMemberSel::dump( std :: ostream & str) const#1678#168688888src/V3Class.cpp#ClassVisitor::setStructModulep( AstNodeUOrStructDType * const dtypep)#179#19288888src/V3EmitCImp.cpp#EmitCGatherDependencies::addDTypeDependency( const AstNodeDType * nodep)#50#6088888src/V3AstNodes.cpp#AstNodeUOrStructDType::dump( std :: ostream & str) const#1830#183488888src/V3EmitCHeaders.cpp#EmitCHeader::emitStructDecl( const AstNodeModule * modp , AstNodeUOrStructDType * sdtypep , std :: set<AstNodeUOrStructDType*> & emitted)#216#239","src/V3AstNodeDType.h:890,src/V3AstNodes.cpp:1674,src/V3AstNodes.cpp:1678,src/V3AstNodes.cpp:1834,src/V3Class.cpp:180,src/V3Class.cpp:187,src/V3Class.cpp:65,src/V3Common.cpp:66,src/V3EmitCHeaders.cpp:222,src/V3EmitCImp.cpp:57",test_regress/t/t_struct_nest_uarray.pl,0,https://github.com/verilator/verilator/issues/4173
18,master,9130eb8,09e856d,src/V3EmitCSyms.cpp,src/V3EmitCSyms.cpp#EmitCSyms::emitSymHdr()#390#560,src/V3EmitCSyms.cpp:435,test_regress/t/t_timing_dpi.pl,1,https://github.com/verilator/verilator/issues/4148
19,master,444020f,6188083baa3a,src/V3Width.cpp,src/V3Width.cpp#WidthVisitor::visit( AstNew * nodep)#3755#3790,"src/V3Width.cpp:3786,src/V3Width.cpp:3758,src/V3Width.cpp:3759,src/V3Width.cpp:3789",test_regress/t/t_class_super_new2.pl,0,https://github.com/verilator/verilator/issues/4147
20,master,7708c88,707f230,src/V3Begin.cpp,"src/V3Begin.cpp#BeginVisitor::visit( AstVar * nodep)#260#27688888src/V3Begin.cpp#BeginVisitor::dot( const string & a , const string & b)#112#115","src/V3Begin.cpp:263,src/V3Begin.cpp:114",test_regress/t/t_static_dup_name.pl,0,https://github.com/verilator/verilator/issues/4144
21,master,e095bf1,d5de67c,src/V3Width.cpp,src/V3Width.cpp#WidthVisitor::visit( AstInside * nodep)#2470#2529,"src/V3Width.cpp:2476,src/V3Width.cpp:2477,src/V3Width.cpp:2478,src/V3Width.cpp:2479,src/V3Width.cpp:2480,src/V3Width.cpp:2481,src/V3Width.cpp:2483,src/V3Width.cpp:2484,src/V3Width.cpp:2485,src/V3Width.cpp:2492,src/V3Width.cpp:2516,src/V3Width.cpp:2517",test_regress/t/t_inside_nonint.pl,0,https://github.com/verilator/verilator/issues/4138
22,master,f794180,0e769d4,src/V3EmitXml.cpp,src/V3EmitXml.cpp#HierCellsXmlVisitor::visit( AstCell * nodep)#403#421,"src/V3EmitXml.cpp:406,src/V3EmitXml.cpp:407,src/V3EmitXml.cpp:421",test_regress/t/t_xml_begin_hier.pl,0,https://github.com/verilator/verilator/issues/4129
23,master,08330ba,84a4693,src/V3LinkParse.cpp,src/V3LinkParse.cpp#LinkParseVisitor::visit( AstVar * nodep)#227#328,src/V3LinkParse.cpp:234,test_regress/t/t_static_function_in_class.pl,0,https://github.com/verilator/verilator/issues/4111
24,master,0307d59,3aa013c,"src/V3Class.cpp,src/V3File.cpp,src/V3EmitCImp.cpp",src/V3Class.cpp#ClassVisitor::setStructModulep( AstNodeUOrStructDType * const dtypep)#179#19288888src/V3Class.cpp#ClassVisitor::visit( AstTypedef * nodep)#193#20288888src/V3EmitCImp.cpp#EmitCImp::emitCFuncImp( const AstNodeModule * modp)#486#53088888src/V3File.cpp#V3OutFile::putsForceIncs()#938#941,"src/V3Class.cpp:181,src/V3Class.cpp:196,src/V3EmitCImp.cpp:517,src/V3File.cpp:940",test_regress/t/t_struct_unpacked.pl,0,https://github.com/verilator/verilator/issues/4102
25,master,cac634d,08330ba,src/V3DfgDfgToAst.cpp,"src/V3DfgDfgToAst.cpp#makeNode<AstCountOnes,DfgCountOnes,AstNodeExpr*>( const DfgCountOnes * vtxp , AstNodeExpr * op1)#58#65","src/V3DfgDfgToAst.cpp:62,src/V3DfgDfgToAst.cpp:63",test_regress/t/t_dfg_4104.pl,0,https://github.com/verilator/verilator/issues/4101
26,master,2ab34b5,e3bdae7,src/V3Width.cpp,src/V3Width.cpp#WidthVisitor::visit( AstNodeFTask * nodep)#5265#5315,"src/V3Width.cpp:5309,src/V3Width.cpp:5310,src/V3Width.cpp:5290",test_regress/t/t_class_new.pl,0,https://github.com/verilator/verilator/issues/4098
28,master,990b19e,2290e6c,src/V3Const.cpp,src/V3Const.cpp#ConstBitOpTreeVisitor::visit( AstNodeBiop * nodep)#527#640,src/V3Const.cpp:551,test_regress/t/t_const_opt.pl,1,https://github.com/verilator/verilator/issues/4059
29,master,2c62714,f13e753,src/V3Width.cpp,"src/V3Width.cpp#WidthVisitor::methodCallLValueRecurse( AstMethodCall * nodep , AstNode * childp , const VAccess & access)#3198#3210",src/V3Width.cpp:3203,test_regress/t/t_queue_struct.pl,0,https://github.com/verilator/verilator/issues/4015
